input_size,slaves,time_in_second,time_in_minute,time_in_hour
10,0,464,"7,73","0,12"
10,0,468,"7,8","0,13"
10,0,462,"7,7","0,12"
10,0,467,"7,78","0,12"
10,0,449,"7,48","0,12"
10,1,523,"8,71","0,14"
10,1,509,"8,48","0,14"
10,1,497,"8,28","0,13"
10,1,413,"6,88","0,11"
10,1,389,"6,48","0,1"
25,1,1257,"20,95","0,34"
25,1,1224,"20,4","0,34"
25,1,1275,"21,25","0,35"
25,1,1252,"20,86","0,34"
25,1,1229,"20,48","0,34"
50,1,3881,"64,68","1,07"
50,1,3909,"65,15","1,08"
50,1,4081,"68,01","1,13"
50,1,3453,"57,55","0,95"
50,1,3310,"55,16","0,91"
10,2,344,"5,73","0,09"
10,2,356,"5,93","0,09"
10,2,313,"5,21","0,08"
10,2,320,"5,33","0,08"
10,2,297,"4,95","0,08"
25,2,1390,"23,16","0,38"
25,2,1338,"22,3","0,37"
25,2,1363,"22,71","0,37"
25,2,1265,"21,08","0,35"
25,2,1340,"22,33","0,37"
50,2,3992,"66,53","1,1"
50,2,3622,"60,36",1
50,2,3719,"61,98","1,03"
50,2,3718,"61,96","1,03"
50,2,3507,"58,45","0,97"
100,2,31171,"519,51","8,65"
100,2,33148,"552,46","9,2"
100,2,33208,"553,46","9,22"
100,2,27385,"456,41","7,6"
100,2,37619,"626,98","10,44"
10,3,287,"4,78","0,07"
10,3,294,"4,9","0,08"
10,3,296,"4,93","0,08"
10,3,294,"4,9","0,08"
10,3,299,"4,98","0,08"
25,3,932,"15,53","0,25"
25,3,916,"15,26","0,25"
25,3,882,"14,7","0,24"
25,3,844,"14,06","0,23"
25,3,838,"13,96","0,23"
50,3,3286,"54,76","0,91"
50,3,3402,"56,7","0,94"
50,3,3131,"52,18","0,86"
50,3,3079,"51,31","0,85"
50,3,3214,"53,56","0,89"
100,3,17121,"285,35","4,75"
100,3,15104,"251,73","4,19"
100,3,16799,"279,98","4,66"
100,3,17344,"289,06","4,81"
100,3,14231,"289,06","4,81"
